MATNR,YE49_plus_7
G36239001,"524,25"
G38581001,"291,05"
G38847SC,"54,57"
G40308,"81,02"
G40367,"27,51"
G43986,"48,37"
G23341,"67,19"
G27742,"69,56"
G28817,"4,44"
G24905,"36,04"
ID796611,"22,71"
ID975031,"157,34"
G27522,"29,98"
ID796879,"232,54"
G32107,"184,52"
G19174,"434,67"
ID1002009,"8,26"
G42943,"9,93"
G47061,"114,22"
G43546,"1,83"
ID1002097,"22,29"
G21255,"111,38"
ID1022002,"47,19"
FG27333,"54,90"
G46590,"16,01"
G47175,"95,32"
ID936019,"9,06"
ID975024,"159,28"
ID1005393,"25,87"
ID968735,"179,27"
G65807VB,"55,01"
ID1015862,"12,31"
ID1002118,"20,37"
G23427,"120,41"
G31159002,"148,10"
G324692ECO,"100,89"
G32743,"41,75"
G35028,"60,07"
ID1002163,"24,00"
G32629001,"94,09"
G27354,"30,46"
G32653002,"949,70"
ID1002027,"23,99"
G32826,"481,63"
G331902ECO,"109,53"
G38544,"126,23"
G33772002,"161,92"
G13084,"15,00"
ID975034,"92,74"
ID975038,"11,79"
G28404,"11,89"
ID1015840,"12,31"
ID1001962,"29,39"
G12436,"65,69"
ID981472,"33,75"
G40548,"58,51"
G19416,"211,99"
G28944001,"119,02"
G46043W,"57,67"
G38844AW,"26,84"
ID796673,"156,67"
ID777555,"261,38"
G27706,"20,06"
G28769001,"103,65"
G43187,"30,78"
ID697564,"107,80"
G27936,"85,07"
G27618,"322,01"
G35034,"98,25"
G06139,"11,43"
ID796934,"1282,88"
G34286002,"188,20"
ID955964,"70,59"
ID100765,"10,29"
ID955683,"80,35"
ID1001964,"10,76"
G37321SD1,"282,79"
G12417,"32,26"
G43547,"1,87"
G27523,"26,32"
ID975021,"109,71"
G47117,"32,85"
G42985,"61,67"
G43064,"6,68"
G06765,"24,00"
G45081,"8,76"
G322041ECO,"79,86"
G01734,"9,06"
G32067,"197,62"
G32257002,"180,64"
G37311,"15,37"
G46229CMC,"73,37"
G36236,"408,56"
G43996,"144,34"
G07623,"41,00"
G28405,"27,08"
G38846CVSA,"146,94"
G28724,"23,25"
G32618,"169,47"
G32638,"180,10"
G47303,"4,13"
G47439,"32,62"
G31360,"313,33"
G32789,"103,20"
G32847,"119,93"
G27969CG,"32,61"
G38548001,"60,43"
ID981498,"37,24"
ID975010,"29,63"
ID975032,"147,90"
ID796667,"109,08"
G12063,"27,02"
G123351,"257,38"
G38862EST,"60,27"
G38916,"150,82"
FG27324,"25,87"
G42302,"25,71"
ID1004700,"329,45"
ID1002034,"19,89"
ID1002095,"23,99"
ID1002157,"12,29"
ID1028797,"117,04"
ID1015819,"55,42"
ID1020377,"54,27"
G20014,"392,28"
G21022,"300,79"
G23328,"35,47"
G47450,"55,74"
G47525,"9,22"
G27909,"524,98"
G28198,"62,38"
G31128SST1,"147,15"
G32839,"47,03"
G34019,"515,25"
G36277,"502,84"
ID1004748,"9,59"
ID1028708,"20,47"
ID1028845,"628,98"
ID1000118,"31,76"
ID1002054,"26,74"
ID1002022,"23,99"
ID981476,"33,75"
ID981477,"33,75"
ID1004701,"204,26"
ID1004719,"132,33"
ID1001981,"59,51"
ID757102,"44,50"
ID726605,"49,99"
ID936556,"190,63"
ID931714,"85,95"
G13052,"17,37"
